Transfers of major conventional arms from All countries  to All countries . Deals with deliveries made for the year range '1950' to '1991' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 24 Dec 2025 8:08:58 AM
SIPRI AT Database ID,Supplier,Recipient,Designation,Description,Armament category,Order date,Order date is estimate,Numbers delivered,Numbers delivered is estimate,Delivery year,Delivery year is estimate,Status,SIPRI estimate,TIV deal unit,TIV delivery values,Local production
17121,Sweden,Colombia,20 de Julio -,destroyer,Ships,1954,No,2,No,1958,No,New,123,123,246,No
95,Italy,Comoros,SF-260,(armed) trainer aircraft,Aircraft,1976,No,3,No,1977,No,New,0.24,0.24,0.72,No
1670,unknown supplier(s),Comoros,C-47,transport aircraft,Aircraft,1976,Yes,1,Yes,1976,Yes,Second hand,2.5,1,1,No
30245,France,Comoros,AS-350,light helicopter,Aircraft,1986,Yes,1,No,1987,No,New,0.9,0.9,0.9,No
3165,Spain,Congo,Piranha PC,patrol boat,Ships,1980,No,3,No,1983,No,New,6,6,18,No
58120,Soviet Union,Congo,Mi-8T,transport helicopter,Aircraft,1990,Yes,3,Yes,1991,Yes,New,6,6,18,No
14855,Cuba,Congo,MiG-15UTI,(armed) trainer aircraft,Aircraft,1978,Yes,2,Yes,1978,Yes,Second hand,3,1.2,2.4,No
25071,Cuba,Congo,MiG-17,fighter aircraft,Aircraft,1978,Yes,7,Yes,1978,Yes,Second hand,3.5,1.4,9.8,No
25071,Cuba,Congo,MiG-17,fighter aircraft,Aircraft,1978,Yes,7,Yes,1979,Yes,Second hand,3.5,1.4,9.8,No
25071,Cuba,Congo,MiG-17,fighter aircraft,Aircraft,1978,Yes,6,Yes,1980,Yes,Second hand,3.5,1.4,8.4,No
16785,France,Congo,Noratlas,transport aircraft,Aircraft,1985,No,1,No,1985,No,Second hand,7,2.8,2.8,No
25070,Soviet Union,Congo,MiG-21bis,fighter aircraft,Aircraft,1988,Yes,4,Yes,1988,No,Second hand,12.5,5,20,No
25070,Soviet Union,Congo,MiG-21bis,fighter aircraft,Aircraft,1988,Yes,8,Yes,1989,No,Second hand,12.5,5,40,No
25070,Soviet Union,Congo,MiG-21bis,fighter aircraft,Aircraft,1988,Yes,8,Yes,1990,No,Second hand,12.5,5,40,No
3666,France,Congo,Noratlas,transport aircraft,Aircraft,1981,No,1,No,1981,No,Second hand,7,2.8,2.8,No
15227,France,Congo,SA-330 Puma,helicopter,Aircraft,1973,Yes,1,No,1974,No,New,6,6,6,No
7559,France,Congo,C-47,transport aircraft,Aircraft,1960,No,1,No,1960,Yes,Second hand,2.5,1,1,No
7558,France,Congo,Broussard,light aircraft,Aircraft,1960,No,2,Yes,1961,Yes,Second hand,0.38,0.15,0.3,No
15228,Czechoslovakia,Congo,L-39C Albatros,(armed) trainer aircraft,Aircraft,1982,Yes,4,Yes,1983,Yes,Second hand,4.5,1.8,7.2,No
25072,France,Congo,SA-313 Alouette-2,light helicopter,Aircraft,1961,Yes,1,No,1961,No,Second hand,0.7,0.28,0.28,No
15230,China,Congo,Type-62,light tank,Armoured vehicles,1970,Yes,14,Yes,1971,Yes,New,1,1,14,No
50,France,Congo,N-262,transport aircraft,Aircraft,1977,Yes,2,Yes,1978,No,New,3.75,3.75,7.5,No
2774,Soviet Union,Congo,Project-206 Shtorm,torpedo boat,Ships,1979,Yes,1,No,1979,No,Second hand,22.5,9,9,No
3667,Angola,Congo,Noratlas,transport aircraft,Aircraft,1979,No,1,No,1979,No,Second hand,7,2.8,2.8,No
4719,Soviet Union,Congo,ZSU-23-4,self-propelled anti-aircraft gun,Air-defence systems,1984,Yes,8,Yes,1984,Yes,Second hand,7,2.8,22.4,No
7554,Soviet Union,Congo,BTR-152,armoured personnel carrier,Armoured vehicles,1966,Yes,20,Yes,1968,Yes,Second hand,0.13,0.05,1.04,No
7553,Soviet Union,Congo,IL-14,transport aircraft,Aircraft,1969,Yes,6,Yes,1971,Yes,Second hand,4,1.6,9.6,No
7555,Soviet Union,Congo,Il-18,transport aircraft,Aircraft,1969,Yes,1,Yes,1970,Yes,Second hand,19,7.6,7.6,No
7557,France,Congo,SA-313 Alouette-2,light helicopter,Aircraft,1971,Yes,3,No,1971,No,Second hand,0.7,0.28,0.84,No
7556,Soviet Union,Congo,An-24,transport aircraft,Aircraft,1968,Yes,3,Yes,1969,Yes,New,7.5,7.5,22.5,No
15185,unknown supplier(s),Congo,D-30 122mm,towed gun,Artillery,1971,Yes,8,Yes,1972,Yes,Second hand,0.35,0.14,1.12,No
15184,unknown supplier(s),Congo,BS-3 100mm,towed gun,Artillery,1970,Yes,10,Yes,1971,Yes,Second hand,0.35,0.14,1.4,No
15231,Soviet Union,Congo,PT-76,light tank,Armoured vehicles,1971,Yes,3,Yes,1972,Yes,Second hand,0.9,0.36,1.08,No
15234,China,Congo,Type-59,tank,Armoured vehicles,1977,Yes,15,Yes,1978,Yes,New,0.9,0.9,13.5,No
15236,Soviet Union,Congo,BTR-60PB,armoured personnel carrier,Armoured vehicles,1984,Yes,28,Yes,1984,No,Second hand,0.25,0.1,2.8,No
15235,unknown supplier(s),Congo,T-54,tank,Armoured vehicles,1982,Yes,25,Yes,1982,Yes,Second hand,1.1,0.44,11,No
16648,Soviet Union,Congo,BM-21 122mm,multiple rocket launcher,Artillery,1978,Yes,8,Yes,1979,Yes,New,0.6,0.6,4.8,No
17365,Soviet Union,Congo,BRDM-2,armoured reconnaissance vehicle,Armoured vehicles,1978,Yes,15,Yes,1978,Yes,New,0.15,0.15,2.25,No
25073,France,Congo,Broussard,light aircraft,Aircraft,1963,Yes,1,No,1963,No,Second hand,0.38,0.15,0.15,No
25073,France,Congo,Broussard,light aircraft,Aircraft,1963,Yes,1,No,1965,No,Second hand,0.38,0.15,0.15,No
25074,France,Congo,C-47,transport aircraft,Aircraft,1969,Yes,1,No,1969,No,Second hand,2.5,1,1,No
25074,France,Congo,C-47,transport aircraft,Aircraft,1969,Yes,1,No,1970,No,Second hand,2.5,1,1,No
25371,France,Congo,SA-316 Alouette-3,light helicopter,Aircraft,1971,No,1,No,1971,No,New,0.9,0.9,0.9,No
25443,France,Congo,M-3 VTT,armoured personnel carrier,Armoured vehicles,1973,Yes,9,Yes,1974,Yes,New,0.16,0.16,1.44,No
26512,Soviet Union,Congo,M-46 130mm,towed gun,Artillery,1975,Yes,5,Yes,1975,Yes,Second hand,0.65,0.26,1.3,No
26917,unknown supplier(s),Congo,SON-9,fire-control radar,Sensors,1975,Yes,3,Yes,1976,Yes,Second hand,0.6,0.24,0.72,No
26914,unknown supplier(s),Congo,KS-19 100mm,anti-aircraft gun,Air-defence systems,1975,Yes,4,Yes,1976,Yes,Second hand,0.6,0.24,0.96,No
26915,unknown supplier(s),Congo,PM-43 120mm,mortar,Artillery,1975,Yes,10,Yes,1976,Yes,New,0.25,0.25,2.5,No
27208,unknown supplier(s),Congo,BRDM-1,armoured reconnaissance vehicle,Armoured vehicles,1975,Yes,10,Yes,1975,Yes,Second hand,0.12,0.05,0.48,No
29988,Soviet Union,Congo,K-13M,short-range air-to-air missile,Missiles,1988,Yes,50,Yes,1988,Yes,New,0.07,0.07,3.5,No
29988,Soviet Union,Congo,K-13M,short-range air-to-air missile,Missiles,1988,Yes,50,Yes,1989,Yes,New,0.07,0.07,3.5,No
29988,Soviet Union,Congo,K-13M,short-range air-to-air missile,Missiles,1988,Yes,50,Yes,1990,Yes,New,0.07,0.07,3.5,No
18630,Soviet Union,Congo,An-26,transport aircraft,Aircraft,1980,Yes,1,Yes,1980,Yes,New,8.5,8.5,8.5,No
18633,France,Congo,Noratlas,transport aircraft,Aircraft,1988,No,1,No,1988,No,Second hand but modernized,7,4.62,4.62,No
18005,United States,Contras (Nicaragua)*,DC-6,transport aircraft,Aircraft,1983,Yes,1,Yes,1983,Yes,Second hand,8.5,3.4,3.4,No
18006,United States,Contras (Nicaragua)*,Strela-2,portable SAM,Missiles,1986,Yes,50,Yes,1987,Yes,New,0.04,0.04,2,No
18007,United States,Contras (Nicaragua)*,Redeye,portable SAM,Missiles,1986,No,300,Yes,1987,No,New,0.04,0.04,12,No
29812,United States,Contras (Nicaragua)*,C-123K,transport aircraft,Aircraft,1986,Yes,2,Yes,1986,No,Second hand,6,2.4,4.8,No
17476,United States,Contras (Nicaragua)*,Bell-204B,helicopter,Aircraft,1986,No,1,No,1986,No,Second hand,2.1,0.84,0.84,No
29815,United States,Contras (Nicaragua)*,C-47,transport aircraft,Aircraft,1983,Yes,1,Yes,1983,Yes,Second hand,2.5,1,1,No
29815,United States,Contras (Nicaragua)*,C-47,transport aircraft,Aircraft,1983,Yes,1,Yes,1984,Yes,Second hand,2.5,1,1,No
29816,United States,Contras (Nicaragua)*,Cessna-337,light aircraft,Aircraft,1983,Yes,3,No,1983,No,Second hand,0.35,0.14,0.42,No
29817,United States,Contras (Nicaragua)*,Cessna-411,light transport aircraft,Aircraft,1983,No,4,No,1983,No,Second hand,0.95,0.38,1.52,No
29818,United States,Contras (Nicaragua)*,Cessna-411,light transport aircraft,Aircraft,1983,No,2,No,1983,No,Second hand,0.95,0.38,0.76,No
14114,United States,Costa Rica,MD-500E,light helicopter,Aircraft,1984,Yes,2,No,1985,No,New,0.7,0.7,1.4,No
16311,United States,Costa Rica,FH-1100,light helicopter,Aircraft,1973,Yes,1,No,1973,No,New,0.7,0.7,0.7,No
16310,Germany,Costa Rica,Beech-18,light transport aircraft,Aircraft,1955,Yes,1,No,1956,No,Second hand,0.4,0.16,0.16,No
1565,United States,Costa Rica,Swift-105,patrol boat,Ships,1977,Yes,1,No,1978,No,New,5.5,5.5,5.5,No
16312,United States,Costa Rica,Cessna-180 Skywagon,light aircraft,Aircraft,1962,No,3,No,1963,No,New,0.18,0.18,0.54,No
16313,United States,Costa Rica,DHC-3 Otter,light transport aircraft,Aircraft,1974,No,3,No,1975,No,Second hand,0.8,0.32,0.96,No
16314,United States,Costa Rica,P-51 Mustang,fighter aircraft,Aircraft,1954,Yes,4,No,1955,No,Second hand,2,0.8,3.2,No
16316,United States,Costa Rica,Model-300,light helicopter,Aircraft,1965,Yes,2,No,1966,Yes,New,0.2,0.2,0.4,No
16317,United States,Costa Rica,S-58T,helicopter,Aircraft,1974,No,2,No,1975,No,Second hand,2.25,0.9,1.8,No
16319,United States,Costa Rica,M-113,armoured personnel carrier,Armoured vehicles,1984,Yes,3,Yes,1986,Yes,New,0.25,0.25,0.75,No
16315,Panama,Costa Rica,Bell-204B,helicopter,Aircraft,1978,Yes,2,No,1979,Yes,Second hand,2.1,0.84,1.68,No
17568,United States,Costa Rica,Cessna-337,light aircraft,Aircraft,1986,No,3,No,1986,No,Second hand,0.35,0.14,0.42,No
25321,Germany,Costa Rica,UR-416,armoured personnel carrier,Armoured vehicles,1983,Yes,1,Yes,1984,Yes,New,0.15,0.15,0.15,No
26462,United States,Costa Rica,PA-23 Aztec,light aircraft,Aircraft,1972,Yes,2,Yes,1973,Yes,New,0.35,0.35,0.7,No
26463,United States,Costa Rica,PA-34 Seneca,light transport aircraft,Aircraft,1980,Yes,1,No,1980,Yes,New,0.44,0.44,0.44,No
38312,United States,Costa Rica,Cape,patrol boat,Ships,1989,No,1,No,1989,No,Second hand,3.9,1.56,1.56,No
5671,France,Cote d'Ivoire,Cessna-150,light/trainer aircraft,Aircraft,1970,Yes,3,No,1971,Yes,New,0.08,0.08,0.24,No
5681,France,Cote d'Ivoire,SA-330 Puma,helicopter,Aircraft,1969,No,1,No,1970,No,New,6,6,6,No
5677,France,Cote d'Ivoire,C-47,transport aircraft,Aircraft,1961,Yes,1,No,1962,No,Second hand,2.5,1,1,No
5678,France,Cote d'Ivoire,Broussard,light aircraft,Aircraft,1961,Yes,2,No,1962,No,Second hand,0.38,0.15,0.3,No
14921,France,Cote d'Ivoire,SC-497,patrol boat,Ships,1961,No,1,No,1961,No,Second hand,7,2.8,2.8,No
15070,France,Cote d'Ivoire,M-1950 105mm,towed gun,Artillery,1971,Yes,4,Yes,1972,Yes,Second hand,0.45,0.18,0.72,No
241,France,Cote d'Ivoire,BATRAL,landing ship,Ships,1974,No,1,No,1977,No,New,20,20,20,No
243,France,Cote d'Ivoire,P-48,patrol boat,Ships,1975,No,1,No,1979,No,New,11,11,11,No
244,France,Cote d'Ivoire,Patra,patrol boat,Ships,1977,No,2,No,1978,No,New,7.2,7.2,14.4,No
819,France,Cote d'Ivoire,Alpha Jet,trainer/combat aircraft,Aircraft,1977,No,4,Yes,1980,No,New,9,9,36,No
819,France,Cote d'Ivoire,Alpha Jet,trainer/combat aircraft,Aircraft,1977,No,2,Yes,1981,No,New,9,9,18,No
983,Netherlands,Cote d'Ivoire,F-27 Friendship,transport aircraft,Aircraft,1978,Yes,1,No,1979,No,New,8.5,8.5,8.5,No
1502,France,Cote d'Ivoire,VAB-VTT,armoured personnel carrier,Armoured vehicles,1978,No,11,No,1980,No,New,0.3,0.3,3.3,No
2589,France,Cote d'Ivoire,ERC-90,armoured car,Armoured vehicles,1979,Yes,7,No,1980,No,New,0.8,0.8,5.6,No
2807,France,Cote d'Ivoire,M-3 VDA,self-propelled anti-aircraft gun,Air-defence systems,1979,Yes,4,Yes,1980,Yes,New,0.55,0.55,2.2,No
3109,United States,Cote d'Ivoire,Bonanza,light aircraft,Aircraft,1978,Yes,6,No,1979,No,New,0.24,0.24,1.44,No
4187,France,Cote d'Ivoire,Alpha Jet,trainer/combat aircraft,Aircraft,1983,No,1,No,1984,No,New,9,9,9,No
5673,France,Cote d'Ivoire,SA-313 Alouette-2,light helicopter,Aircraft,1965,Yes,2,No,1967,No,New,0.7,0.7,1.4,No
5674,France,Cote d'Ivoire,SA-316 Alouette-3,light helicopter,Aircraft,1966,Yes,2,No,1967,No,New,0.9,0.9,1.8,No
5675,France,Cote d'Ivoire,Beech-18,light transport aircraft,Aircraft,1966,Yes,1,No,1967,No,Second hand,0.4,0.16,0.16,No
5680,France,Cote d'Ivoire,SA-316 Alouette-3,light helicopter,Aircraft,1968,Yes,2,Yes,1969,Yes,New,0.9,0.9,1.8,No
5682,France,Cote d'Ivoire,Cessna-337,light aircraft,Aircraft,1970,Yes,3,No,1970,No,New,0.35,0.35,1.05,No
5683,Netherlands,Cote d'Ivoire,F-27 Friendship,transport aircraft,Aircraft,1970,Yes,2,No,1971,No,New,8.5,8.5,17,No
5684,France,Cote d'Ivoire,SA-330 Puma,helicopter,Aircraft,1973,No,3,No,1974,No,New,6,6,18,No
5686,France,Cote d'Ivoire,M-8 Greyhound,armoured car,Armoured vehicles,1961,Yes,15,Yes,1963,Yes,Second hand,0.19,0.08,1.14,No
5687,France,Cote d'Ivoire,AMX-13-75,light tank,Armoured vehicles,1963,Yes,5,Yes,1966,Yes,Second hand,0.9,0.36,1.8,No
5688,France,Cote d'Ivoire,AML,armoured car,Armoured vehicles,1965,Yes,20,Yes,1968,Yes,New,0.7,0.7,14,No
8796,France,Cote d'Ivoire,VAB-VCI,infantry fighting vehicle,Armoured vehicles,1978,No,2,No,1980,No,New,0.75,0.75,1.5,No
14924,France,Cote d'Ivoire,P-48,patrol boat,Ships,1966,Yes,1,No,1968,No,New,11,11,11,No
17395,France,Cote d'Ivoire,M-3 VTT,armoured personnel carrier,Armoured vehicles,1976,Yes,10,Yes,1977,Yes,New,0.16,0.16,1.6,No
23459,France,Cote d'Ivoire,C-47,transport aircraft,Aircraft,1967,Yes,1,Yes,1968,Yes,Second hand,2.5,1,1,No
25472,France,Cote d'Ivoire,SS-12M,anti-ship missile,Missiles,1977,Yes,25,Yes,1978,Yes,New,0.02,0.02,0.5,No
25759,France,Cote d'Ivoire,ACMAT APC,armoured personnel carrier,Armoured vehicles,1988,Yes,10,No,1989,Yes,New,0.16,0.16,1.6,No
29439,United States,Cote d'Ivoire,King Air,light transport aircraft,Aircraft,1979,Yes,1,No,1979,No,New,2.85,2.85,2.85,No
29438,United States,Cote d'Ivoire,Cessna-411,light transport aircraft,Aircraft,1979,Yes,1,No,1979,No,New,0.95,0.95,0.95,No
32378,France,Cote d'Ivoire,AM-50 120mm,mortar,Artillery,1980,Yes,8,Yes,1980,Yes,Second hand,0.25,0.1,0.8,No
32378,France,Cote d'Ivoire,AM-50 120mm,mortar,Artillery,1980,Yes,8,Yes,1981,Yes,Second hand,0.25,0.1,0.8,No
33091,France,Cote d'Ivoire,M-3 VDA-RA-20S,anti-aircraft gun turret,Air-defence systems,1979,Yes,2,Yes,1980,Yes,New,3.25,3.25,6.5,No
1669,France,Cote d'Ivoire,AS-565,helicopter,Aircraft,1979,Yes,4,Yes,1979,No,New,3.25,3.25,13,No
53573,Soviet Union,Croatia,AK-630 30mm,naval gun,Naval weapons,1989,Yes,1,No,1991,No,New,1,1,1,No
16176,United States,Cuba,P-47D,FGA aircraft,Aircraft,1951,Yes,14,Yes,1952,No,Second hand,2.1,0.84,11.76,No
16176,United States,Cuba,P-47D,FGA aircraft,Aircraft,1951,Yes,15,Yes,1953,No,Second hand,2.1,0.84,12.6,No
7579,United States,Cuba,B-26 Invader,bomber aircraft,Aircraft,1956,Yes,16,No,1956,No,Second hand,5,2,32,No
7579,United States,Cuba,B-26 Invader,bomber aircraft,Aircraft,1956,Yes,2,No,1957,No,Second hand,5,2,4,No
15978,Soviet Union,Cuba,PM-43 120mm,mortar,Artillery,1962,Yes,25,Yes,1962,Yes,New,0.25,0.25,6.25,No
15978,Soviet Union,Cuba,PM-43 120mm,mortar,Artillery,1962,Yes,25,Yes,1963,Yes,New,0.25,0.25,6.25,No
15978,Soviet Union,Cuba,PM-43 120mm,mortar,Artillery,1962,Yes,25,Yes,1964,Yes,New,0.25,0.25,6.25,No
15978,Soviet Union,Cuba,PM-43 120mm,mortar,Artillery,1962,Yes,25,Yes,1965,Yes,New,0.25,0.25,6.25,No
7560,Soviet Union,Cuba,T-55,tank,Armoured vehicles,1963,No,100,Yes,1963,No,Second hand,1.25,0.5,50,No
57573,Soviet Union,Cuba,APR-1,anti-submarine torpedo,Missiles,1990,Yes,10,Yes,1991,Yes,New,0.1,0.1,1,No
57574,Soviet Union,Cuba,4K51 Rubezh,coastal defence system,Artillery,1980,Yes,1,Yes,1982,Yes,New,15,15,15,No
57574,Soviet Union,Cuba,4K51 Rubezh,coastal defence system,Artillery,1980,Yes,1,Yes,1981,Yes,New,15,15,15,No
34409,Soviet Union,Cuba,P-15U,anti-ship missile,Missiles,1980,Yes,35,Yes,1981,Yes,New,0.7,0.7,24.5,No
34409,Soviet Union,Cuba,P-15U,anti-ship missile,Missiles,1980,Yes,35,Yes,1982,Yes,New,0.7,0.7,24.5,No
3421,Soviet Union,Cuba,Project-205,missile boat,Ships,1976,No,3,No,1978,No,Second hand,42.5,17,51,No
3421,Soviet Union,Cuba,Project-205,missile boat,Ships,1976,No,2,No,1979,No,Second hand,42.5,17,34,No
3421,Soviet Union,Cuba,Project-205,missile boat,Ships,1976,No,2,No,1981,No,Second hand,42.5,17,34,No
3421,Soviet Union,Cuba,Project-205,missile boat,Ships,1976,No,4,No,1982,No,Second hand,42.5,17,68,No
3421,Soviet Union,Cuba,Project-205,missile boat,Ships,1976,No,1,Yes,1976,Yes,Second hand,42.5,17,17,No
3421,Soviet Union,Cuba,Project-205,missile boat,Ships,1976,No,1,Yes,1977,No,Second hand,42.5,17,17,No
3522,Soviet Union,Cuba,P-15U,anti-ship missile,Missiles,1976,Yes,15,Yes,1980,Yes,New,0.7,0.7,10.5,No
3522,Soviet Union,Cuba,P-15U,anti-ship missile,Missiles,1976,Yes,15,Yes,1979,Yes,New,0.7,0.7,10.5,No
3522,Soviet Union,Cuba,P-15U,anti-ship missile,Missiles,1976,Yes,15,Yes,1978,Yes,New,0.7,0.7,10.5,No
3522,Soviet Union,Cuba,P-15U,anti-ship missile,Missiles,1976,Yes,15,Yes,1977,Yes,New,0.7,0.7,10.5,No
3522,Soviet Union,Cuba,P-15U,anti-ship missile,Missiles,1976,Yes,12,Yes,1976,Yes,New,0.7,0.7,8.4,No
3522,Soviet Union,Cuba,P-15U,anti-ship missile,Missiles,1976,Yes,13,Yes,1982,Yes,New,0.7,0.7,9.1,No
3522,Soviet Union,Cuba,P-15U,anti-ship missile,Missiles,1976,Yes,15,Yes,1981,Yes,New,0.7,0.7,10.5,No
15363,Soviet Union,Cuba,Project-12650 Yakhont,minehunter,Ships,1984,Yes,2,No,1985,No,New,45,45,90,No
57570,Soviet Union,Cuba,SET-65,anti-submarine/ship torpedo,Missiles,1989,Yes,5,Yes,1990,Yes,New,1,1,5,No
57571,Soviet Union,Cuba,53-65,anti-ship torpedo,Missiles,1989,Yes,5,Yes,1990,Yes,New,1.1,1.1,5.5,No
29758,Soviet Union,Cuba,Ka-27PL,anti-submarine helicopter,Aircraft,1990,Yes,4,Yes,1991,Yes,New,17,17,68,No
57572,Soviet Union,Cuba,APR-1,anti-submarine torpedo,Missiles,1982,Yes,30,Yes,1983,Yes,New,0.1,0.1,3,No
57572,Soviet Union,Cuba,APR-1,anti-submarine torpedo,Missiles,1982,Yes,30,Yes,1984,Yes,New,0.1,0.1,3,No
16201,Soviet Union,Cuba,T-55,tank,Armoured vehicles,1981,No,25,Yes,1981,No,New,1.25,1.25,31.25,No
7571,Czechoslovakia,Cuba,Z-326,trainer aircraft,Aircraft,1960,Yes,10,Yes,1961,No,New,0.1,0.1,1,No
7571,Czechoslovakia,Cuba,Z-326,trainer aircraft,Aircraft,1960,Yes,10,Yes,1962,No,New,0.1,0.1,1,No
7571,Czechoslovakia,Cuba,Z-326,trainer aircraft,Aircraft,1960,Yes,10,Yes,1963,No,New,0.1,0.1,1,No
7581,United States,Cuba,T-33A,trainer aircraft,Aircraft,1954,No,8,Yes,1954,No,New,2.5,2.5,20,No
29068,Nicaragua,Cuba,Staghound,armoured car,Armoured vehicles,1958,Yes,20,Yes,1958,No,Second hand,0.24,0.1,1.92,No
32928,Czechoslovakia,Cuba,Z-142,trainer aircraft,Aircraft,1975,Yes,10,Yes,1976,Yes,New,0.1,0.1,1,No
3172,Soviet Union,Cuba,BMP-1,infantry fighting vehicle,Armoured vehicles,1978,No,10,Yes,1981,Yes,New,0.9,0.9,9,No
3172,Soviet Union,Cuba,BMP-1,infantry fighting vehicle,Armoured vehicles,1978,No,10,Yes,1982,Yes,New,0.9,0.9,9,No
3172,Soviet Union,Cuba,BMP-1,infantry fighting vehicle,Armoured vehicles,1978,No,10,Yes,1983,Yes,New,0.9,0.9,9,No
3172,Soviet Union,Cuba,BMP-1,infantry fighting vehicle,Armoured vehicles,1978,No,10,Yes,1984,Yes,New,0.9,0.9,9,No
3172,Soviet Union,Cuba,BMP-1,infantry fighting vehicle,Armoured vehicles,1978,No,10,Yes,1985,Yes,New,0.9,0.9,9,No
3172,Soviet Union,Cuba,BMP-1,infantry fighting vehicle,Armoured vehicles,1978,No,10,Yes,1986,Yes,New,0.9,0.9,9,No
3172,Soviet Union,Cuba,BMP-1,infantry fighting vehicle,Armoured vehicles,1978,No,10,Yes,1987,Yes,New,0.9,0.9,9,No
3172,Soviet Union,Cuba,BMP-1,infantry fighting vehicle,Armoured vehicles,1978,No,10,Yes,1988,Yes,New,0.9,0.9,9,No
4382,Soviet Union,Cuba,Project-1159,corvette,Ships,1982,Yes,1,No,1984,No,New,125,125,125,No
4385,Soviet Union,Cuba,9M33,SAM,Missiles,1979,No,30,Yes,1981,Yes,New,0.1,0.1,3,No
51,Soviet Union,Cuba,V-750,SAM,Missiles,1976,No,200,Yes,1977,No,New,0.12,0.12,24,No
51,Soviet Union,Cuba,V-750,SAM,Missiles,1976,No,200,Yes,1976,No,New,0.12,0.12,24,No
7567,United States,Cuba,PA-20 Pacer,light aircraft,Aircraft,1956,No,4,No,1957,No,New,0.06,0.06,0.24,No
7577,United States,Cuba,Beech-18,light transport aircraft,Aircraft,1950,Yes,1,Yes,1951,Yes,Second hand,0.4,0.16,0.16,No
7577,United States,Cuba,Beech-18,light transport aircraft,Aircraft,1950,Yes,1,Yes,1952,Yes,Second hand,0.4,0.16,0.16,No
7577,United States,Cuba,Beech-18,light transport aircraft,Aircraft,1950,Yes,1,Yes,1953,Yes,Second hand,0.4,0.16,0.16,No
16208,Soviet Union,Cuba,ZSU-57,self-propelled anti-aircraft gun,Air-defence systems,1963,Yes,25,Yes,1963,No,New,1.2,1.2,30,No
16175,United States,Cuba,DC-4,transport aircraft,Aircraft,1957,Yes,1,No,1957,No,Second hand,6.25,2.5,2.5,No
62588,Soviet Union,Cuba,T-34-85,tank,Armoured vehicles,1960,No,64,Yes,1960,No,Second hand,0.95,0.38,24.32,No
20141,Soviet Union,Cuba,P-40,air-search radar,Sensors,1982,Yes,1,Yes,1982,Yes,New,8,8,8,No
3279,Soviet Union,Cuba,MiG-21bis,fighter aircraft,Aircraft,1980,Yes,26,Yes,1982,No,New,12.5,12.5,325,No
3279,Soviet Union,Cuba,MiG-21bis,fighter aircraft,Aircraft,1980,Yes,25,Yes,1981,No,New,12.5,12.5,312.5,No
3279,Soviet Union,Cuba,MiG-21bis,fighter aircraft,Aircraft,1980,Yes,26,Yes,1983,No,New,12.5,12.5,325,No
32926,Soviet Union,Cuba,An-30,reconnaissance aircraft,Aircraft,1970,Yes,1,Yes,1972,Yes,New,7.5,7.5,7.5,No
7587,United States,Cuba,PBY-5A Catalina,maritime patrol aircraft,Aircraft,1955,Yes,2,No,1955,No,Second hand,3.1,1.24,2.48,No
7589,Czechoslovakia,Cuba,T-34-85,tank,Armoured vehicles,1960,No,100,No,1960,No,Second hand,0.95,0.38,38,No
19805,Soviet Union,Cuba,MiG-29,fighter aircraft,Aircraft,1985,Yes,4,No,1989,No,New,20.65,20.65,82.6,No
19805,Soviet Union,Cuba,MiG-29,fighter aircraft,Aircraft,1985,Yes,4,Yes,1990,No,New,20.65,20.65,82.6,No
19805,Soviet Union,Cuba,MiG-29,fighter aircraft,Aircraft,1985,Yes,4,Yes,1991,No,New,20.65,20.65,82.6,No
4383,Soviet Union,Cuba,9M33,SAM,Missiles,1982,Yes,30,Yes,1984,No,New,0.1,0.1,3,No
6346,Soviet Union,Cuba,T-34-85,tank,Armoured vehicles,1963,No,80,Yes,1963,No,Second hand,0.95,0.38,30.4,No
7561,Soviet Union,Cuba,MiG-17,fighter aircraft,Aircraft,1960,Yes,30,Yes,1962,Yes,Second hand,3.5,1.4,42,No
7561,Soviet Union,Cuba,MiG-17,fighter aircraft,Aircraft,1960,Yes,25,Yes,1963,Yes,Second hand,3.5,1.4,35,No
7561,Soviet Union,Cuba,MiG-17,fighter aircraft,Aircraft,1960,Yes,25,Yes,1961,No,Second hand,3.5,1.4,35,No
7591,Soviet Union,Cuba,SU-100,tank destroyer,Armoured vehicles,1960,No,25,Yes,1960,Yes,Second hand,1,0.4,10,No
7591,Soviet Union,Cuba,SU-100,tank destroyer,Armoured vehicles,1960,No,25,Yes,1961,Yes,Second hand,1,0.4,10,No
7591,Soviet Union,Cuba,SU-100,tank destroyer,Armoured vehicles,1960,No,25,Yes,1962,Yes,Second hand,1,0.4,10,No
7591,Soviet Union,Cuba,SU-100,tank destroyer,Armoured vehicles,1960,No,25,Yes,1963,No,Second hand,1,0.4,10,No
